%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1695938595308673219,96,220315000000000,GPS1_Frame,42.339599609375,-71.09046936035156,25.600000381469727,327792.21875,4689599.0,19,T
1695938596293572062,97,220316000000000,GPS1_Frame,42.3395881652832,-71.0904769897461,25.200000762939453,327791.5,4689598.0,19,T
1695938597311469892,98,220317000000000,GPS1_Frame,42.339576721191406,-71.09049224853516,24.899999618530273,327790.5,4689597.0,19,T
1695938598291078359,99,220318000000000,GPS1_Frame,42.33957290649414,-71.09050750732422,24.899999618530273,327789.125,4689596.0,19,T
1695938599292034142,100,220319000000000,GPS1_Frame,42.33956527709961,-71.09052276611328,24.899999618530273,327787.59375,4689595.5,19,T
1695938600291685814,101,220320000000000,GPS1_Frame,42.33955764770508,-71.09054565429688,24.899999618530273,327785.78125,4689594.5,19,T
1695938601310476971,102,220321000000000,GPS1_Frame,42.33955001831055,-71.09056854248047,24.899999618530273,327784.25,4689594.0,19,T
1695938602291339419,103,220322000000000,GPS1_Frame,42.339542388916016,-71.09058380126953,25.0,327782.59375,4689593.0,19,T
1695938603310053030,104,220323000000000,GPS1_Frame,42.339534759521484,-71.09060668945312,24.899999618530273,327780.90625,4689592.5,19,T
1695938604310596202,105,220324000000000,GPS1_Frame,42.33953094482422,-71.09062194824219,24.899999618530273,327779.25,4689592.0,19,T
1695938605293041616,106,220325000000000,GPS1_Frame,42.33952331542969,-71.09064483642578,25.0,327777.71875,4689591.0,19,T
1695938606310328972,107,220326000000000,GPS1_Frame,42.33951950073242,-71.09066009521484,25.399999618530273,327776.0625,4689590.5,19,T
1695938607292830483,108,220327000000000,GPS1_Frame,42.33951187133789,-71.09068298339844,25.399999618530273,327774.65625,4689590.0,19,T
1695938608310206266,109,220328000000000,GPS1_Frame,42.33950424194336,-71.0906982421875,25.700000762939453,327773.40625,4689589.0,19,T
1695938609311816704,110,220329000000000,GPS1_Frame,42.339500427246094,-71.09071350097656,25.700000762939453,327772.15625,4689588.5,19,T
1695938610290450895,111,220330000000000,GPS1_Frame,42.339500427246094,-71.09072875976562,25.5,327770.78125,4689588.5,19,T
1695938611324031903,112,220331000000000,GPS1_Frame,42.33949661254883,-71.09074401855469,25.200000762939453,327769.5625,4689588.0,19,T
1695938612292561704,113,220332000000000,GPS1_Frame,42.33948516845703,-71.09075164794922,25.0,327768.4375,4689587.0,19,T
1695938613293061257,114,220333000000000,GPS1_Frame,42.339473724365234,-71.09076690673828,24.899999618530273,327767.28125,4689586.0,19,T
1695938614312243816,115,220334000000000,GPS1_Frame,42.3394660949707,-71.09078216552734,24.600000381469727,327766.1875,4689585.0,19,T
1695938615291292705,116,220335000000000,GPS1_Frame,42.33945846557617,-71.0907974243164,24.399999618530273,327765.0625,4689584.0,19,T
1695938616292035132,117,220336000000000,GPS1_Frame,42.33945083618164,-71.09081268310547,24.200000762939453,327763.8125,4689583.5,19,T
1695938617312093442,118,220337000000000,GPS1_Frame,42.33944320678711,-71.0908203125,23.899999618530273,327762.6875,4689582.5,19,T
1695938618290416050,119,220338000000000,GPS1_Frame,42.339439392089844,-71.09083557128906,24.0,327761.4375,4689582.0,19,T
1695938619290563871,120,220339000000000,GPS1_Frame,42.33943557739258,-71.09085083007812,23.899999618530273,327760.3125,4689582.0,19,T
1695938620292157848,121,220340000000000,GPS1_Frame,42.33943557739258,-71.09086608886719,24.0,327759.21875,4689582.0,19,T
1695938621291306425,122,220341000000000,GPS1_Frame,42.33943176269531,-71.09088134765625,24.200000762939453,327757.96875,4689581.5,19,T
1695938622309402209,123,220342000000000,GPS1_Frame,42.33943176269531,-71.09089660644531,24.5,327756.75,4689581.5,19,T
1695938623290878996,124,220343000000000,GPS1_Frame,42.33943176269531,-71.09091186523438,24.600000381469727,327755.375,4689581.0,19,T
1695938624291602934,125,220344000000000,GPS1_Frame,42.33942413330078,-71.09092712402344,24.600000381469727,327753.96875,4689580.5,19,T
