%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1695935900208338604,384,211820000000000,GPS1_Frame,42.338218688964844,-71.08848571777344,37.900001525878906,327951.96875,4689442.0,19,T
1695935901208421040,385,211821000000000,GPS1_Frame,42.33822250366211,-71.08848571777344,37.900001525878906,327952.125,4689442.5,19,T
1695935902227355417,386,211822000000000,GPS1_Frame,42.338226318359375,-71.08848571777344,37.900001525878906,327951.84375,4689442.5,19,T
1695935903223594566,387,211823000000000,GPS1_Frame,42.338226318359375,-71.08848571777344,37.79999923706055,327951.71875,4689442.5,19,T
1695935904206247436,388,211824000000000,GPS1_Frame,42.338226318359375,-71.08849334716797,37.79999923706055,327951.4375,4689442.5,19,T
1695935905225658586,389,211825000000000,GPS1_Frame,42.33823013305664,-71.08849334716797,37.79999923706055,327951.3125,4689443.0,19,T
1695935906224529690,390,211826000000000,GPS1_Frame,42.33823013305664,-71.08849334716797,37.70000076293945,327951.59375,4689443.0,19,T
1695935907225225649,391,211827000000000,GPS1_Frame,42.33823013305664,-71.08848571777344,37.70000076293945,327952.0,4689443.0,19,T
1695935908205747522,392,211828000000000,GPS1_Frame,42.338233947753906,-71.08848571777344,37.70000076293945,327951.875,4689443.5,19,T
1695935909224156839,393,211829000000000,GPS1_Frame,42.338233947753906,-71.08848571777344,37.70000076293945,327952.0,4689443.5,19,T
1695935910225508332,394,211830000000000,GPS1_Frame,42.338233947753906,-71.08848571777344,37.70000076293945,327952.15625,4689443.5,19,T
1695935911224202831,395,211831000000000,GPS1_Frame,42.338233947753906,-71.08848571777344,37.70000076293945,327952.15625,4689443.5,19,T
1695935912224684586,396,211832000000000,GPS1_Frame,42.33823776245117,-71.0884780883789,37.70000076293945,327952.5625,4689443.5,19,T
1695935913221628787,397,211833000000000,GPS1_Frame,42.33823776245117,-71.0884780883789,37.70000076293945,327952.84375,4689443.5,19,T
1695935914224620220,398,211834000000000,GPS1_Frame,42.33823776245117,-71.0884780883789,37.70000076293945,327952.71875,4689443.5,19,T
1695935915208230956,399,211835000000000,GPS1_Frame,42.33823776245117,-71.0884780883789,37.70000076293945,327952.71875,4689443.5,19,T
1695935916225181947,400,211836000000000,GPS1_Frame,42.33823776245117,-71.0884780883789,37.70000076293945,327952.71875,4689443.5,19,T
1695935917226379335,401,211837000000000,GPS1_Frame,42.33823776245117,-71.0884780883789,37.70000076293945,327952.71875,4689443.5,19,T
1695935918223987043,402,211838000000000,GPS1_Frame,42.33823776245117,-71.0884780883789,37.70000076293945,327952.71875,4689443.5,19,T
1695935919224362741,403,211839000000000,GPS1_Frame,42.33823776245117,-71.08847045898438,37.70000076293945,327952.96875,4689443.5,19,T
1695935920209206533,404,211840000000000,GPS1_Frame,42.33823776245117,-71.08847045898438,37.70000076293945,327953.125,4689444.0,19,T
1695935921225711270,405,211841000000000,GPS1_Frame,42.33823776245117,-71.08847045898438,37.70000076293945,327953.25,4689443.5,19,T
1695935922209153786,406,211842000000000,GPS1_Frame,42.338233947753906,-71.08847045898438,37.70000076293945,327953.25,4689443.5,19,T
1695935923225304555,407,211843000000000,GPS1_Frame,42.33823013305664,-71.08847045898438,37.70000076293945,327953.5,4689443.0,19,T
1695935924226068229,408,211844000000000,GPS1_Frame,42.338233947753906,-71.08847045898438,37.70000076293945,327953.375,4689443.5,19,T
1695935925209152169,409,211845000000000,GPS1_Frame,42.338233947753906,-71.08847045898438,37.70000076293945,327953.375,4689443.5,19,T
1695935926207712771,410,211846000000000,GPS1_Frame,42.338233947753906,-71.08847045898438,37.70000076293945,327953.375,4689443.5,19,T
1695935927208522299,411,211847000000000,GPS1_Frame,42.338233947753906,-71.08847045898438,37.70000076293945,327953.375,4689443.5,19,T
1695935928207523213,412,211848000000000,GPS1_Frame,42.338233947753906,-71.08847045898438,37.70000076293945,327953.375,4689443.5,19,T
1695935929208404686,413,211849000000000,GPS1_Frame,42.338233947753906,-71.08847045898438,37.70000076293945,327953.375,4689443.5,19,T
1695935930208532238,414,211850000000000,GPS1_Frame,42.338233947753906,-71.08847045898438,37.70000076293945,327953.375,4689443.5,19,T
1695935931207423979,415,211851000000000,GPS1_Frame,42.33823013305664,-71.08847045898438,37.599998474121094,327953.09375,4689443.0,19,T
1695935932212588393,416,211852000000000,GPS1_Frame,42.338233947753906,-71.0884780883789,37.599998474121094,327952.6875,4689443.5,19,T
1695935933213234356,417,211853000000000,GPS1_Frame,42.33823013305664,-71.08848571777344,37.599998474121094,327952.15625,4689443.0,19,T
1695935934213958532,418,211854000000000,GPS1_Frame,42.33823013305664,-71.08848571777344,37.5,327951.71875,4689443.0,19,T
1695935935212720716,419,211855000000000,GPS1_Frame,42.33823013305664,-71.08849334716797,37.5,327951.59375,4689443.0,19,T
1695935936214988634,420,211856000000000,GPS1_Frame,42.33823013305664,-71.08849334716797,37.599998474121094,327951.03125,4689443.0,19,T
1695935937215405764,421,211857000000000,GPS1_Frame,42.33823013305664,-71.0885009765625,37.599998474121094,327950.90625,4689443.0,19,T
